"","X.x","album_ids","track","track_id","runtime","year","title","category","album","artist","large_image","med_image","small_image","X.y","lyrics"
"1",1,"0S0KGZnfBGSIssfF54WSJh","!!!!!!!","0rQtoQXQfwpDW0c7Fw1NeM",13578,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",1,"Wait a minute, let me finish
I know you don't care
But can you listen?
I came committed, guess I overdid it
Wore my heart out on a chain
Around my neck, but now it's missing, hmm

Da-da-da-da-da-da-da
Da-da-da-da-da-da-da

So I think I better go
I never really know how to please you
You're lookin' at me like I'm see-through
I guess I'm gonna go
...

******* This Lyrics is NOT for Commercial use *******"
"2",2,"0S0KGZnfBGSIssfF54WSJh","bad guy","2Fxmhks0bxGSBdJ92vM42m",194087,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",2,"White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal

Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul, so cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh
...

******* This Lyrics is NOT for Commercial use *******"
"3",3,"0S0KGZnfBGSIssfF54WSJh","xanny","4QIo4oxwzzafcBWkKjDpXY",243725,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",3,"What is it about them?
I must be missing something
They just keep doing nothing
Too intoxicated to be scared
Better off without them
They're nothing but unstable
Bring ashtrays to the table
And that's about the only thing they share

I'm in their second hand smoke
Still just drinking canned coke
I don't need a xanny to feel better
One designated drives home
Only one who's not stoned
Don't give me a xanny now or ever

...

******* This Lyrics is NOT for Commercial use *******"
"4",4,"0S0KGZnfBGSIssfF54WSJh","you should see me in a crown","3XF5xLJHOQQRbWya6hBp7d",180952,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",4,"Bite my tongue, bide my time
Wearing a warning sign
Wait till the world is mine

Visions I vandalize
Cold in my kingdom size
Fell for these ocean eyes

You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by, one by one, one by, one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by, one by one, one by, one by one
...

******* This Lyrics is NOT for Commercial use *******"
"5",5,"0S0KGZnfBGSIssfF54WSJh","all the good girls go to hell","6IRdLKIyS4p7XNiP8r6rsx",168839,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",5,"My Lucifer is lonely

Standing there, killing time
Can't commit to anything but a crime
Peter's on vacation, an open invitation
Animals, evidence
Pearly Gates look more like a picket fence
Once you get inside 'em
Got friends but can't invite them

Hills burn in California
My turn to ignore ya
Don't say I didn't warn ya

All the good girls go to Hell
'Cause even God herself has enemies
...

******* This Lyrics is NOT for Commercial use *******"
"6",6,"0S0KGZnfBGSIssfF54WSJh","wish you were gay","3Fj47GNK2kUF0uaEDgXLaD",221543,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",6,"""Baby, I don't feel so good"", six words you never understood
""I'll never let you go"", five words you'll never say (aww)
I laugh along like nothing's wrong, four days has never felt so long
If three's a crowd and two was us, one slipped away (hahahahaha)

I just wanna make you feel okay
But all you do is look the other way
I can't tell you how much I wish I didn't wanna stay
I just kinda wish you were gay

Is there a reason we're not through?
Is there a 12-step just for you?
Our conversation's all in blue
...

******* This Lyrics is NOT for Commercial use *******"
"7",7,"0S0KGZnfBGSIssfF54WSJh","when the party's over","43zdsphuZLzwA9k4DJhU0I",196077,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",7,"Don't you know I'm no good for you?
I've learned to lose, you can't afford to
Tore my shirt to stop you bleeding
But nothin' ever stops you leaving

Quiet when I'm coming home
And I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that

...

******* This Lyrics is NOT for Commercial use *******"
"8",8,"0S0KGZnfBGSIssfF54WSJh","8","6X29iaaazwho3ab7GNue5r",173201,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",8,"Wait a minute, let me finish
I know you don't care
But can you listen?
I came committed, guess I overdid it
Wore my heart out on a chain
Around my neck, but now it's missing, hmm

Da-da-da-da-da-da-da
Da-da-da-da-da-da-da

So I think I better go
I never really know how to please you
You're lookin' at me like I'm see-through
I guess I'm gonna go
...

******* This Lyrics is NOT for Commercial use *******"
"9",9,"0S0KGZnfBGSIssfF54WSJh","my strange addiction","3Tc57t9l2O8FwQZtQOvPXK",179889,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",9,"No Billie I haven't done that dance since my wife died
There's a whole crowd of people out there
Who need to learn how to do the Scarn

Don't ask questions you don't wanna know
Learned my lesson way too long ago
To be talkin' to you, Belladonna
Shoulda taken a break, not an oxford comma
Take what I want when I wanna
And I want ya

Bad, bad news
One of us is gonna lose
I'm the powder, you're the fuse
Just add some friction

You are my strange addiction
You are my strange addiction
My doctors can't explain
My symptoms or my pain
But you are my strange addiction

...

******* This Lyrics is NOT for Commercial use *******"
"10",10,"0S0KGZnfBGSIssfF54WSJh","bury a friend","4SSnFejRGlZikf02HLewEF",193143,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",10,"Billie...

What do you want from me?
Why don't you run from me?
What are you wondering?
What do you know?
Why aren't you scared of me?
Why do you care for me?
When we all fall asleep, where do we go?

Come here...

Say it, spit it out, what is it exactly?
You're payin'?
Is the amount cleanin' you out
Am I satisfactory?
Today, I'm thinkin' about
The things that are deadly
The way I'm drinkin' you down
Like I wanna drown, like I wanna end me

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ahh-ha)
Cannibal class, killin' the son (Ahh)
Bury a friend, I wanna end me
...

******* This Lyrics is NOT for Commercial use *******"
"11",11,"0S0KGZnfBGSIssfF54WSJh","ilomilo","7qEKqBCD2vE5vIBsrUitpD",156370,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",11,"Told you not to worry
But maybe that's a lie
Honey, what's your hurry?
Won't you stay inside?
Remember not to get too close to stars
They're never gonna give you love like ours

Where did you go?
I should know, but it's cold
And I don't wanna be lonely
So show me the way home
I can't lose another life

Hurry, I'm worried
...

******* This Lyrics is NOT for Commercial use *******"
"12",12,"0S0KGZnfBGSIssfF54WSJh","listen before i go","0tMSssfxAL2oV8Vri0mFHE",242652,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",12,"Take me to the rooftop
I wanna see the world when I stop breathing
Turning blue
Tell me, love is endless, don't be so pretentious
Leave me, like you do (like you do)

If you need me
Wanna see me
Better hurry
'Cause I'm leaving soon

Sorry, can't save me now
Sorry, I don't know how
...

******* This Lyrics is NOT for Commercial use *******"
"13",13,"0S0KGZnfBGSIssfF54WSJh","i love you","6CcJMwBtXByIz4zQLzFkKc",291796,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",13,"It's not true
Tell me I've been lied to
Crying isn't like you
Ooh-ooh-ooh
What the hell did I do?
Never been the type to
Let someone see right through
Ooh-ooh-ooh

Maybe won't you take it back
Say you were tryna make me laugh
And nothing has to change today
You didn't mean to say ""I love you""
I love you and I don't want to
Ooh-ooh-ooh
...

******* This Lyrics is NOT for Commercial use *******"
"14",14,"0S0KGZnfBGSIssfF54WSJh","goodbye","3LgWsmilsrWXiPYQFRD0T7",119409,2019,"62nd Annual GRAMMY Awards  (2019)","Album Of The Year","When We All Fall Asleep, Where Do We Go?","Billie Eilish","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce","https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce",14,"Please, please
Don't leave me be

It's not true
Take me to the rooftop
...

******* This Lyrics is NOT for Commercial use *******"
"15",15,"7f6xPqyaolTiziKf5R5Z0c","Slow Burn","6ET9kf9riLETWs9lePUEAI",246133,2018,"61st Annual GRAMMY Awards  (2018)","Album Of The Year","Golden Hour","Kacey Musgraves","https://i.scdn.co/image/ab67616d0000b2732e35d25eb7288830d5540484","https://i.scdn.co/image/ab67616d00001e022e35d25eb7288830d5540484","https://i.scdn.co/image/ab67616d000048512e35d25eb7288830d5540484",15,"Born in a hurry, always late
Haven't been early since '88
Texas is hot, I can be cold
Grandma cried when I pierced my nose
Good in a glass, good on green
Good when you're puttin' your hands all over me

I'm alright with a slow burn
Takin' my time, let the world turn
I'm gonna do it my way, it'll be alright
...

******* This Lyrics is NOT for Commercial use *******"
