year,title,category,album,artist,album_id,large_image,med_image,small_image
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,0S0KGZnfBGSIssfF54WSJh,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce
2018,61st Annual GRAMMY Awards  (2018),Album Of The Year,Golden Hour,Kacey Musgraves,7f6xPqyaolTiziKf5R5Z0c,https://i.scdn.co/image/ab67616d0000b2732e35d25eb7288830d5540484,https://i.scdn.co/image/ab67616d00001e022e35d25eb7288830d5540484,https://i.scdn.co/image/ab67616d000048512e35d25eb7288830d5540484
2017,60th Annual GRAMMY Awards  (2017),Album Of The Year,24K Magic,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5
2016,59th Annual GRAMMY Awards  (2016),Album Of The Year,25,Adele,0K4pIOOsfJ9lK8OjrZfXzd,https://i.scdn.co/image/ab67616d0000b2734c3bbcff5e7248e415548f12,https://i.scdn.co/image/ab67616d00001e024c3bbcff5e7248e415548f12,https://i.scdn.co/image/ab67616d000048514c3bbcff5e7248e415548f12
2015,58th Annual GRAMMY Awards  (2015),Album Of The Year,1989,Taylor Swift,2QJmrSgbdM35R67eoGQo4j,https://i.scdn.co/image/ab67616d0000b273c79b600289a80aaef74d155d,https://i.scdn.co/image/ab67616d00001e02c79b600289a80aaef74d155d,https://i.scdn.co/image/ab67616d00004851c79b600289a80aaef74d155d
2014,57th Annual GRAMMY Awards  (2014),Album Of The Year,Morning Phase,Beck,2Qx7dgA5VjX8JDQaXVxzHu,https://i.scdn.co/image/ab67616d0000b273f585024d184f024efbd5d3a1,https://i.scdn.co/image/ab67616d00001e02f585024d184f024efbd5d3a1,https://i.scdn.co/image/ab67616d00004851f585024d184f024efbd5d3a1
2013,56th Annual GRAMMY Awards  (2013),Album Of The Year,Random Access Memories,Daft Punk,4m2880jivSbbyEGAKfITCa,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,https://i.scdn.co/image/ab67616d00001e021d97ca7376f835055f828139,https://i.scdn.co/image/ab67616d000048511d97ca7376f835055f828139
2012,55th Annual GRAMMY Awards  (2012),Album Of The Year,Babel,Mumford & Sons,4Blt0T4LKGdWreILkYZre3,https://i.scdn.co/image/ab67616d0000b273e5d3f32e37004060183a5fc5,https://i.scdn.co/image/ab67616d00001e02e5d3f32e37004060183a5fc5,https://i.scdn.co/image/ab67616d00004851e5d3f32e37004060183a5fc5
2011,54th Annual GRAMMY Awards  (2011),Album Of The Year,21,Adele,1azUkThwd2HfUDdeNeT147,https://i.scdn.co/image/ab67616d0000b2736d4056466fc11f6408be2566,https://i.scdn.co/image/ab67616d00001e026d4056466fc11f6408be2566,https://i.scdn.co/image/ab67616d000048516d4056466fc11f6408be2566
2010,53rd Annual GRAMMY Awards  (2010),Album Of The Year,The Suburbs,Arcade Fire,3DrgM5X3yX1JP1liNLAOHI,https://i.scdn.co/image/ab67616d0000b273532391d63cfd6d32677f7af6,https://i.scdn.co/image/ab67616d00001e02532391d63cfd6d32677f7af6,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6
