"","album_ids","track","track_id","runtime"
"1","0S0KGZnfBGSIssfF54WSJh","!!!!!!!","0rQtoQXQfwpDW0c7Fw1NeM",13578
"2","0S0KGZnfBGSIssfF54WSJh","bad guy","2Fxmhks0bxGSBdJ92vM42m",194087
"3","0S0KGZnfBGSIssfF54WSJh","xanny","4QIo4oxwzzafcBWkKjDpXY",243725
"4","0S0KGZnfBGSIssfF54WSJh","you should see me in a crown","3XF5xLJHOQQRbWya6hBp7d",180952
"5","0S0KGZnfBGSIssfF54WSJh","all the good girls go to hell","6IRdLKIyS4p7XNiP8r6rsx",168839
"6","0S0KGZnfBGSIssfF54WSJh","wish you were gay","3Fj47GNK2kUF0uaEDgXLaD",221543
"7","0S0KGZnfBGSIssfF54WSJh","when the party's over","43zdsphuZLzwA9k4DJhU0I",196077
"8","0S0KGZnfBGSIssfF54WSJh","8","6X29iaaazwho3ab7GNue5r",173201
"9","0S0KGZnfBGSIssfF54WSJh","my strange addiction","3Tc57t9l2O8FwQZtQOvPXK",179889
"10","0S0KGZnfBGSIssfF54WSJh","bury a friend","4SSnFejRGlZikf02HLewEF",193143
"11","0S0KGZnfBGSIssfF54WSJh","ilomilo","7qEKqBCD2vE5vIBsrUitpD",156370
"12","0S0KGZnfBGSIssfF54WSJh","listen before i go","0tMSssfxAL2oV8Vri0mFHE",242652
"13","0S0KGZnfBGSIssfF54WSJh","i love you","6CcJMwBtXByIz4zQLzFkKc",291796
"14","0S0KGZnfBGSIssfF54WSJh","goodbye","3LgWsmilsrWXiPYQFRD0T7",119409
"15","7f6xPqyaolTiziKf5R5Z0c","Slow Burn","6ET9kf9riLETWs9lePUEAI",246133
"16","7f6xPqyaolTiziKf5R5Z0c","Lonely Weekend","3420nZEhm99I1bLc6Yx4XH",226666
"17","7f6xPqyaolTiziKf5R5Z0c","Butterflies","30VHURM5NOfoZmqp2iKawS",219053
"18","7f6xPqyaolTiziKf5R5Z0c","Oh, What A World","5ToJzoVfLYyF7ohMOBNObi",241466
"19","7f6xPqyaolTiziKf5R5Z0c","Mother","4FjkZp6GD6baaxqUYTqIJo",78186
"20","7f6xPqyaolTiziKf5R5Z0c","Love Is A Wild Thing","5F5lmpwXkxAJtvZqEguTRo",256146
"21","7f6xPqyaolTiziKf5R5Z0c","Space Cowboy","5bum4HbCDFoB9wpsc0sQky",216280
"22","7f6xPqyaolTiziKf5R5Z0c","Happy & Sad","04MoJkJzCoU9ukeewv5Vzu",243186
"23","7f6xPqyaolTiziKf5R5Z0c","Velvet Elvis","65krgqLiZqW12PZAUQ9l2x",154386
"24","7f6xPqyaolTiziKf5R5Z0c","Wonder Woman","38UCGIpo273uGgdBXbi992",240426
"25","7f6xPqyaolTiziKf5R5Z0c","High Horse","2U2Z1IXnmJIvlknWizFykZ",213693
"26","7f6xPqyaolTiziKf5R5Z0c","Golden Hour","0pMfPzdRiPAoSM9yWF4OcT",198453
"27","7f6xPqyaolTiziKf5R5Z0c","Rainbow","79qxwHypONUt3AFq0WPpT9",214293
"28","4PgleR09JVnm3zY1fW3XBA","24K Magic","6b8Be6ljOzmkOmFslEb23P",225983
"29","4PgleR09JVnm3zY1fW3XBA","Chunky","0mBKv9DkYfQHjdMcw2jdyI",186973
"30","4PgleR09JVnm3zY1fW3XBA","Perm","1I6pKIyaBp4OebTGLJpCCC",210053
"31","4PgleR09JVnm3zY1fW3XBA","That's What I Like","0KKkJNfGyhkQ5aFogxQAPU",206693
"32","4PgleR09JVnm3zY1fW3XBA","Versace on the Floor","0kN8xEmgMW9mh7UmDYHlJP",261240
"33","4PgleR09JVnm3zY1fW3XBA","Straight up & Down","2mrZYZGmPFV3QOyYPZ1zsn",198186
"34","4PgleR09JVnm3zY1fW3XBA","Calling All My Lovelies","6ObpR8ek44tvWefQRcSo8K",250080
"35","4PgleR09JVnm3zY1fW3XBA","Finesse","5XMkENs3GfeRza8MfVAhjK",191000
"36","4PgleR09JVnm3zY1fW3XBA","Too Good to Say Goodbye","0B0tYbVp7pDQAqKDhgMeaL",281826
"37","0K4pIOOsfJ9lK8OjrZfXzd","Hello","4sPmO7WMQUAf45kwMOtONw",295493
"38","0K4pIOOsfJ9lK8OjrZfXzd","Send My Love (To Your New Lover)","4BHzQ9C00ceJxfG16AlNWb",223080
"39","0K4pIOOsfJ9lK8OjrZfXzd","I Miss You","0QLXkoV7vX86QEibgLe6zQ",348626
